token_id	image_path	image_sha256	image_bytes	video_path	video_sha256	video_bytes	metadata_path	metadata_sha256	metadata_bytes
44	images/animata/cards/44.png	d7a9a52d4e00dd12264d5eb4f7b72d09d0a513b12180f5e77d2845ad943bab9e	1839500	videos/regents-club/44-v1.mp4	84cdb961a90aa5eee9deb5646f30476ae617b6c4410975e0501f58ea811942b2	175698	metadata/regents-club/44.json	4e8cbd697577dc8f5601e54fdd3af2660f442535e12476732ee2b37b7c691996	743
45	images/animata/cards/45.png	cf73c5995985444a4d4f0586f6a74229c302a1bc13ee7c0cc3c60ec86031bfcb	1579637	videos/regents-club/45-v1.mp4	a7bcfd34923e89edbc1398b392cde8fdb3498c5f77ed452235aac3295f9cc2cb	134523	metadata/regents-club/45.json	2b63d1fbe16cb9d18807e05d53ffd244e221de49cc503c0d54785a4562cb8a88	744
46	images/animata/cards/46.png	14fb49e476d077e94f1ed8564014ab7c22ed38df7c369024a0aa6c323b806f43	1545847	videos/regents-club/46-v1.mp4	f89920b083d55d4b4d186f51dd65954cd3ddf424620dc358acd2556d414aea24	123052	metadata/regents-club/46.json	36b09a1cd28f06bee766f166713ba94947f245ab156852800ddc31277ce7b115	744
47	images/animata/cards/47.png	4858e0d05f32b07638eb1074d06d860649a4a7b4a174794d1c4f84346131f40f	1329810	videos/regents-club/47-v1.mp4	54f17258ee5193365bb1615bd821fa59eb3b21e6d1fe9f33037513bed211ad7e	125799	metadata/regents-club/47.json	0b5047439ba4e7e46c5aa3a619f653f7ab70109909dda1b0c550d33da1419320	740
48	images/animata/cards/48.png	291e2b64f9f549417f600ef0fc40864891b29926d1bab04a0c86b476b79aafe2	1667615	videos/regents-club/48-v1.mp4	4d97d56f9325e1ff04cc9f4a884430f95ed393080bf2324c5a72c0ef11730c13	151914	metadata/regents-club/48.json	5f4140cd81625806d61e623536d2b8c380fa3e40fd6f58927a929d855bee5b24	740
49	images/animata/cards/49.png	5d3e5da503e719952bb0b2b6df537f4379d055f671e32a810a020d759f088e84	1718286	videos/regents-club/49-v1.mp4	630c217c781cdbd1e44f7d1a367aac916cb855c51de97e4899f1c21c82b5dc46	154383	metadata/regents-club/49.json	11a8f8977459145118524e445e6eea01311ae2ceb9a9e1d9bdbb478177cca19c	739
50	images/animata/cards/50.png	5626d9ede87b4a56892484551a32924927d36f3871cca54be5109766da1d0245	1346372	videos/regents-club/50-v1.mp4	32767144111455e1357ee2ad598e0e2b63ce2166005a4844a7a542ed34b503d1	136318	metadata/regents-club/50.json	8d428b5783258ce115d0bc4c253d3e1a32fd6aec0cdca3ebe9c6db9a4bd9a32e	739
51	images/animata/cards/51.png	f91acf5c0204122652691faeebad74cb72d698f5431ed45077652b61844cf61b	1766587	videos/regents-club/51-v1.mp4	1421e671deb4c60ed7f5d8c339f15038fcbe1d31997c95221154ed66e7a621fb	141016	metadata/regents-club/51.json	ed7b30b1594c12e53ee6c40d951ed04e50ea4a52f37495a0d8a08eedbb6013b9	745
52	images/animata/cards/52.png	5048b62fb877a62a0604744e8aa0a9456e2aceea96a0c072a2a6b86cc487df25	1913526	videos/regents-club/52-v1.mp4	a248af8367714f90489005bf2e0c8bb3d2a35eaf91179efd5009cb896e8585fd	159281	metadata/regents-club/52.json	01c91a303167f780429b22d952e1a04ad0ab9484802fb2eb2303ee3cb329324f	740
53	images/animata/cards/53.png	f866a259c09c4f786de38c2411a798865b58c953b4cdfb324d69792cd382baf1	1932968	videos/regents-club/53-v1.mp4	9b81446962915feac6cc736e26dd34758d7985f87cb577e51d340e660ddffe86	163499	metadata/regents-club/53.json	3074400af574ee9ce6c138f3e48aaee17c93b25bd7bf2831f36aad41b0c6f5ac	741
54	images/animata/cards/54.png	d577ddfca0d92fdd21487c2c2cab20d84224febcf9c135c53ef6831853d48d20	1590929	videos/regents-club/54-v1.mp4	82022825d9856ccd3fc3793e1daa41471499b8cb04cc76bff5144f7b4cd05e6a	143704	metadata/regents-club/54.json	b4fb7f86dcf24a48611e5e64060889724dda36cbdae6936208e9c6ea0333e58b	741
55	images/animata/cards/55.png	48b21be5a403fed39d2453782563bfea874e7b1aaf20d6d549dcaf623244bcec	1598596	videos/regents-club/55-v1.mp4	aa8346574da51175bb2280e8e5f1cd1c10863f4f021f2f0142927c651ef71341	133733	metadata/regents-club/55.json	1cd7ed92bad019f96cb7a738fe70d710139ebf06444b52ad553fbde9210e3c66	744
56	images/animata/cards/56.png	e6c6d9ee88bf8c78300f53411f98530a1f67dbc9c101eb339014086724461bea	1756180	videos/regents-club/56-v1.mp4	a8c5784f3e968d2c8aea117566180cbf8b2bee757a60df6d659ab2bf4deaa1fc	155760	metadata/regents-club/56.json	76bbf1ba10be136f39fd42a29a2ad5b23d77725ee7dddd908ac805d554deef60	741
57	images/animata/cards/57.png	1f45074d1f8e0681bca84a26a73c4eb20f03d2cd471f1f0d3ad05c3718fc11a4	2195768	videos/regents-club/57-v1.mp4	c6b302aba0783fa2a88366379df8e8f949f9fa87ae3ed579ab8b6876e19b018f	174016	metadata/regents-club/57.json	a5d5f9377b21c2dbdf44ba6de80e4d93aa738354394a864e6d4eddd0db79a639	741
58	images/animata/cards/58.png	3823d3754de69cbb5018998641c176b23ea19967a2ccc4aad3f3f62c8cd8ebe1	2321512	videos/regents-club/58-v1.mp4	27171511e159ca1f45f69e71d6b7ec5881068bc08ef290daadc79ab85aea024e	186003	metadata/regents-club/58.json	e40ee03a87c03d378646665b966d675df655964737c9c9682329f52097d2661d	742
